Trial Type,Experiment,Tank,Substrate,Plate Position,Obs,Time of Day,DateTime,Nos Stars-L,Nos Stars-R,Nos Stars-Tot,Nos_F,Nos_NF,check,Star_1_size,Star_1_position,Star_1_feeding,Star_2_size,Star_2_pos,Star_2_feeding,Star_3_size,Star_3_pos,Star_3_feeding,Star_4_size,Star_4_pos,Star_4_feeding,Star_5_size,Star_5_position,Star_5_feeding,Star_6_size,Star_6_pos,Star_6_feeding,Star_7_size,Star_7_pos,Star_7_feeding,Star_8_size,Star_8_pos,Star_8_feeding,Star_9_size,Star_9_pos,Star_9_feeding,Star_10_size,Star_10_pos,Star_10_feeding,Star_11_size,Star_11_pos,Star_11_feeding,,,,,,,,,
Preference_substrate,2,1,Slate,1,0,D,23/02/2022 11:00,0,3,3,1,2,0,m,rb,nf,m,rb,nf,m,rb,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,1,Poly,2,0,D,23/02/2022 11:00,2,1,3,0,3,0,m,lb,nf,l,lb,nf,m,rt,nf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,1,Slate,3,0,D,23/02/2022 11:00,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,1,Poly,4,0,D,23/02/2022 11:00,5,0,5,1,4,0,m,lb,nf,m,lt,nf,l,lt,f,l,lt,nf,m,lt,nf,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,1,Slate,5,0,D,23/02/2022 11:00,3,2,5,0,5,0,m,lt,nf,l,lt,nf,m,lb,nf,m,rb,nf,m,rb,nf,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,1,Poly,6,0,D,23/02/2022 11:00,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,1,Other,,0,D,23/02/2022 11:00,,,0,0,0,0,,possible arm visible under hide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,2,Poly,1,0,D,23/02/2022 11:00,0,2,2,0,2,0,m,rb,nf,m,rb,nf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,2,Slate,2,0,D,23/02/2022 11:00,3,2,5,4,1,0,m,lb,f,m,lb,nf,l,lb,f,l,rt,f,m,rt,f,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,2,Poly,3,0,D,23/02/2022 11:00,0,3,3,2,1,0,l,rn,f,m,rn,f,m,rb,nf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,2,Slate,4,0,D,23/02/2022 11:00,2,0,2,1,1,0,l,lb,nf,m,lb,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,2,Poly,5,0,D,23/02/2022 11:00,0,4,4,1,3,0,l,rt,f,l,rb,nf,m,rb,nf,m,rb,nf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,2,Slate,6,0,D,23/02/2022 11:00,2,0,2,2,0,0,l,lb,f,l,lb,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,2,Other,,0,D,23/02/2022 11:00,,,3,1,2,0,l,glass,nf,l,floor,f,m,hide,nf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,3,Slate,1,0,D,23/02/2022 11:00,0,4,4,2,2,0,m,rb,nf,m,rb,nf,m,rb,f,m,rb,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
