star,length_1,length_2
1,0.9,1.7
2,0.8,1.7
3,1.1,2
4,0.7,1.5
5,1.4,2.5
6,1.2,2.1
7,1,2
8,1.1,2
9,1.1,2
10,0.9,1.8
11,0.8,1.7
12,0.9,1.6
13,1.2,2
14,1.1,1.9
15,1.2,2
16,1,2
17,1.5,2.6
18,1.1,1.8
19,1,1.9
20,1.2,2.2
21,0.6,1.3
22,0.8,1.5
23,1,2
24,1.1,2.3
25,1.1,1.9
26,0.8,1.7
27,1,1.7
28,1,2
29,1.4,2.5
30,1.2,2.1
31,1.4,2.3
32,1.3,2.3
33,1.1,2
34,0.9,1.6
35,1.3,2.5
36,1.2,2.3
37,1,1.9
38,1.4,2.5
39,1.5,2.6
40,1.1,1.9
41,1.2,2.3
42,1,2
43,1.1,2.1
44,1.2,2.2
45,0.9,2
46,1.1,2.3
47,0.9,1.8
48,0.7,1.3
49,1.1,2.1
50,1.2,2.3
51,0.9,1.8
52,0.8,1.5
53,1.1,1.7
54,1,2
55,1.2,2.2
56,1.1,2
57,1.1,2.1
58,1.1,2.1
59,1.3,2.2
60,1.2,2.2
61,1.5,2.6
62,0.9,2
63,1.4,2.5
64,1.3,2.4
65,1,1.8
66,1.2,2.1
67,1.1,2
68,1,1.9
69,1.2,2.3
70,1.4,2.4
71,1.2,2.3
72,1.3,2.5
73,1.2,2.2
74,1,1.7
75,1,1.9
76,1.2,2.3
77,1.1,1.9
78,1.2,2.3
79,1.1,2.1
80,0.9,1.5
81,0.9,1.8
82,1.5,2.6
83,1.1,2.2
84,0.9,1.6
85,1.5,2.7
86,1.1,2.1
87,1,1.9
88,1.3,2.5
89,1.4,2.6
90,1,2
91,1.1,2
92,1.1,2
93,1.1,2.1
94,1.2,2
95,1,1.6
96,1.1,2.2
97,,
98,,
